#键	计数	中位键角	p05	p95	均值
N	3	1	5	7	4	128.2	126.5	133.3	129.9750
S	2	0	8	8	4	102.0	99.8	103.2	101.7750
P	3	0	6	0	4	100.7	99.7	103.9	101.4750
C	3	1	6	8	4	122.7	121.6	126.7	123.4500
N	3	0	5	8	4	118.3	118.3	118.3	118.3000
C	3	1	16	16	4	123.5	123.5	123.8	123.6250
C	3	0	3	3	4	62.7	50.9	81.7	65.4250
S	4	0	7	7	3	105.9	105.9	109.4	107.0667
C	3	0	4	5	3	113.3	112.4	117.5	114.4000
P	4	1	6	6	3	109.8	109.8	109.8	109.8000
N	2	0	3	3	2	62.4	62.4	62.4	62.4000
S	3	1	5	5	2	87.9	87.9	87.9	87.9000
C	3	1	5	9	2	123.0	123.0	128.8	125.9000
O	2	0	9	9	2	114.4	114.4	114.9	114.6500
C	3	0	16	16	2	116.8	116.8	117.1	116.9500
O	2	0	16	16	2	142.0	142.0	143.0	142.5000
S	2	0	10	10	2	100.3	100.3	100.3	100.3000
S	2	1	6	6	2	99.8	99.8	101.4	100.6000
P	3	0	6	6	2	96.4	96.4	99.3	97.8500
C	3	0	5	8	2	132.5	132.5	132.7	132.6000
N	2	0	8	8	2	129.4	129.4	130.4	129.9000
P	3	0	5	0	2	97.7	97.7	98.5	98.1000
S	2	0	3	3	2	49.0	49.0	49.2	49.1000
S	3	1	5	0	1	98.4	98.4	98.4	98.4000
N	4	0	9	9	1	117.3	117.3	117.3	117.3000
N	4	0	3	3	1	63.7	63.7	63.7	63.7000
N	4	0	7	7	1	111.1	111.1	111.1	111.1000
N	4	0	6	7	1	112.0	112.0	112.0	112.0000
C	4	0	5	8	1	110.3	110.3	110.3	110.3000
C	3	0	4	6	1	125.0	125.0	125.0	125.0000
N	3	0	6	7	1	120.5	120.5	120.5	120.5000
N	3	1	6	7	1	123.6	123.6	123.6	123.6000
S	4	1	5	5	1	112.0	112.0	112.0	112.0000
O	2	0	28	28	1	117.0	117.0	117.0	117.0000
P	3	0	5	5	1	96.3	96.3	96.3	96.3000
O	2	0	4	4	1	90.2	90.2	90.2	90.2000
S	4	1	6	6	1	105.9	105.9	105.9	105.9000
N	4	0	4	4	1	90.0	90.0	90.0	90.0000
