#mols	149
47	765	0,1,2,3|0,1,2,4|0,1,3,4|0,2,3,4
47	766	0,1,2,3|0,1,2,4|0,1,3,4|0,2,3,4
48	0	0,1|2,3
48	457	0|3
48	458	0|3
48	744	0,1,2,3
48	754	0,1,2,3
48	755	0,1,2,3
49	0	0,1|2,3
49	457	0|3
49	458	0|3
49	745	0,1,2,3
49	753	0,1,2,3
49	755	0,1,2,3
50	746	0,1,2,3|2,3,4,5
50	748	0,1,2,3|2,3,4,5
50	756	0,1,2,3|2,3,4,5
50	757	0,1,2,3|2,3,4,5
50	759	0,1,2,3|2,3,4,5
51	7	1,3|1,4
51	15	0,1,2,3,4
51	165	0,1,2,3|0,1,2,4
53	519	1
55	0	0,1|1,2|1,3
55	2	0,1,2,3,4
55	7	4,6
55	71	4,5,6
55	443	4,5,6
57	7	12,14
57	71	12,13,14
57	443	12,13,14
58	7	10,12
58	71	10,11,12
58	445	10,11,12
59	4	1,2
60	6	0,1,2,3
60	7	0,1
60	123	0,1,2
60	497	0,1,2
60	499	0,1,2
61	3	0,1,2,3,4
61	4	10,13
61	489	13
61	492	13
61	506	13
61	507	13
70	756	0,1,2,5
70	757	0,1,2,5
71	756	0,1,2,5
71	757	0,1,2,5
72	756	0,1,2,5
72	757	0,1,2,5
74	756	0,1,4,5
74	757	0,1,4,5
75	105	0,1,5|0,4,5
75	756	1,2,3,4
75	757	1,2,3,4
76	6	0,1,2,3
76	7	1,2
76	76	0,1,3
76	123	1,2,3
76	495	1,2,3
76	497	1,2,3
77	6	12,13,14,15
77	7	13,14|16,18
77	71	16,17,18
77	123	13,14,15
77	445	16,17,18
77	497	13,14,15
77	499	13,14,15
78	149	1,2,3
78	340	1,2|2,3
78	489	1
78	490	1,2|2,3
78	492	1
78	494	1,2,3
78	496	1,2,3
79	7	2,3
81	7	0,1|1,3|1,4
82	0	0,1|1,2|1,3|1,4
82	7	0,1|1,2|1,3|1,4
82	120	0,1,2,3|0,1,2,4|0,1,3,4|1,2,3,4
82	121	0,1,2,3,4
83	0	0,1|1,2|1,3|1,4
83	7	0,1|1,2|1,3|1,4
84	0	0,1|1,3
84	7	0,1|1,3
100	91	0,1,2|0,3,4
100	136	0,1,2|0,3,4
100	489	0
100	492	0
100	511	0
102	0	0,1
105	519	0
110	7	38,39|8,9
110	71	38,39,40|8,9,10
110	443	38,39,40|8,9,10
110	756	24,25,26,27|34,35,36,41
110	757	24,25,26,27|34,35,36,41
113	56	0,1,2,3,4,5|0,1,4,5,6,7
113	79	0,1,2,3,4,5,6,7
113	86	0,1,2,3,6,7|2,3,4,5,6,7
113	182	0,1,2,3,4,5,6,7
113	756	1,2,3,4|1,4,6,7
113	757	1,2,3,4|1,4,6,7
114	756	0,1,2,3
114	757	0,1,2,3
118	91	4,5,6
118	136	4,5,6
118	489	6
118	492	6
118	511	6
119	473	1|2
120	84	0,1,2,3
126	0	0,1|0,2
126	4	0,3|0,4
127	0	0,1|0,2
127	4	0,3|0,4
128	0	0,1|1,2|1,3|1,4
128	10	1,5
128	157	0,1|1,2|1,3|1,4
128	518	5
129	0	1,6
129	4	1,2
129	7	1,3
129	10	1,4
129	518	4
130	0	0,1|0,2|0,3|0,4
131	0	3,5
131	4	0,1
131	7	3,4
131	91	0,1,2
131	96	2,3,4
131	105	1,2,3
131	136	0,1,2
131	153	2,3,4
131	457	5
131	458	5
131	489	0
131	492	0
131	506	0
131	507	0
131	513	4
131	514	4
134	489	1|4
134	492	1|4
135	489	0
135	492	0
139	489	0
139	492	0
140	489	0
140	492	0
142	0	0,1|0,2|0,3|0,4
143	4	0,1
143	7	0,2
143	10	0,3
143	518	3
144	0	0,1|0,2|0,5
144	4	0,3|0,4
145	0	0,1
146	0	0,1
147	0	0,1
148	0	0,1|0,2|0,3|0,4|0,5|0,6
