#种子 0xf00d	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f1	222222	CNCNCC	C,-,N,-,-,-	1.373161	1.373806	1.378317	1.420555	1.352335	1.451707	115.393007	125.481155	116.172396	122.157291	118.247095	121.615739	7.637586	-11.749102	8.495768	0.088971	66.6614	C=C1C=C(N2[C@@H](N=C(N=C2N1)N3CCOCC3)c4ccccc4)[O-]
222222f1	222222	CNNCCC	C,-,-,-,-,-	1.399953	1.364989	1.299725	1.481129	1.408093	1.499611	112.007522	124.284991	117.829415	122.522390	117.544208	117.916365	-22.521952	-1.416035	9.388494	0.260173	65.1361	c1ccc2c(c1)C(=C(C#N)C#N)NN=C2Cl
222222f1	222222	CNNCNC	-,-,-,N,N,-	1.372475	1.458310	1.336144	1.512774	1.468497	1.364245	126.233048	116.014849	124.425664	117.501383	118.221444	117.603612	0.000164	-0.000081	-0.000060	0.000002	83.4564	CC(C)(C)C1=C([N+](=[NH2+])c2n[nH]c(=S)n2[N-]1)O
222222f1	222222	COCNCC	O,-,C,-,-,-	1.365957	1.423982	1.371632	1.396647	1.395339	1.471937	116.921906	125.044961	115.813524	123.222934	120.354667	118.642008	-0.000303	0.000539	-0.000462	0.000004	63.4423	c1ccc2c(c1)C(=O)O/C(=C\\3/C=CC=CC3=[NH2+])/N2
222222f1	222222	NNCCCC	-,-,-,-,C,-	1.380506	1.421403	1.361988	1.452992	1.486820	1.296605	117.191948	124.033794	118.492985	119.408455	115.851699	123.753492	11.301972	-1.666545	-6.560762	0.111826	82.6870	CC1(C=C2C(=NN(C(=C2C#N)N)c3ccccc3)CO1)C
222222f1	222222	NNCNNC	-,-,N,-,-,-	1.370394	1.370470	1.374420	1.385381	1.392724	1.302975	113.298785	125.394338	118.351787	117.532826	117.462797	126.474094	-2.778913	11.388261	-14.565999	0.108644	59.7751	c1cocc1C2=Nn3c(=S)[nH]nc3NN2
222222f2	222222	CCCCCC	O,-,-,-,-,O	1.475331	1.407260	1.484793	1.407260	1.475331	1.513075	118.713188	120.375355	120.911446	120.911462	120.375370	118.713178	0.000442	-0.000097	-0.000553	0.000007	75.1132	O=C1C(=O)c2ccccc2c3ccccc13
222222f2	222222	CCCCCC	O,-,-,N,-,-	1.480337	1.387707	1.484158	1.492760	1.395528	1.473269	119.498495	120.813412	120.205514	118.852678	120.460560	120.169342	0.000132	-0.000115	-0.000027	0.000002	87.7127	C12=C(C(=O)C3=C(C1=N)C=CC=N3)C(O)=CC=C2O
222222f2	222222	CCCCCC	O,-,-,N,-,-	1.496152	1.417023	1.510265	1.450256	1.415181	1.438469	114.657527	122.332403	120.622625	114.385390	122.708683	123.317152	-5.491068	14.683928	-13.026207	0.146878	77.3002	CC1=C2C(=O)C3=C(C=CC=C3)C(=NNC4=C(C=C(C=C4)[N+]([O-])=O)[N+]([O-])=O)C2=C(C)O1
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.445040	1.427304	1.445040	1.493599	1.407413	1.493598	115.327564	122.695372	122.695272	115.327572	121.963674	121.963670	-2.126782	1.460868	-0.329786	0.014302	55.5307	O=C1C2=C(C=CC=C2)C(=O)C3=C(OC(=C13)C4=CC=CC=C4)C5=CC=CC=C5
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.446653	1.422145	1.440248	1.495650	1.416852	1.509840	115.872808	123.089800	122.523585	115.485344	122.904446	120.087614	2.315691	-1.117787	-0.002966	0.016639	54.3996	CC1=CC=CC2=C1C(=O)C3=C(OC(=C3C2=O)C4=CC=CC=C4)C5=CC=CC=C5
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.449262	1.377806	1.433079	1.492581	1.410878	1.498780	116.955665	118.959911	127.154464	114.019055	121.160831	120.582725	2.226872	4.847228	-3.088700	0.109103	71.6538	[O-][N+](=O)C1=CC=CC2=C1C(=O)C3=C(OC4=C3C5=CC=CC=C5C=C4)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.455546	1.388663	1.468096	1.455546	1.388663	1.468096	111.669529	126.223898	122.106575	111.669528	126.223897	122.106574	-0.000172	0.000141	-0.000102	0.000001	24.3532	c1csc2c1C(=O)c3c(ccs3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.458112	1.413874	1.458112	1.458112	1.413875	1.458113	110.304499	124.847757	124.847747	110.304503	124.847769	124.847725	0.000103	-0.000088	0.000032	0.000001	60.2436	c12c(non1)C(=O)c3c(non3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.466049	1.424122	1.466049	1.466049	1.424123	1.466050	110.556565	124.721640	124.721841	110.556538	124.721719	124.721697	0.000784	-0.000540	-0.000360	0.000010	82.1711	c12c(n[nH]n1)C(=O)c3c(n[nH]n3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.468766	1.388901	1.478635	1.492005	1.401621	1.478109	119.482317	119.976168	120.799311	120.022561	118.056070	121.663574	0.000059	-0.000095	0.000055	0.000001	76.4814	CC1=C(Cl)C2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.469137	1.387117	1.473419	1.489456	1.409822	1.489389	119.529472	119.711571	120.075052	119.670974	118.512047	119.474004	0.273440	-14.354903	13.896839	0.182456	89.9021	NC1=C(Br)C=C(Br)C2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.471966	1.390999	1.476602	1.481303	1.397213	1.478626	119.351255	120.063060	120.527234	119.995320	118.877844	121.185286	0.000000	0.000265	-0.000357	0.000003	74.3231	CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+]([O-])=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.472090	1.397444	1.479651	1.480110	1.397269	1.472065	119.962683	117.164266	120.071341	118.719757	120.180356	117.390840	9.917003	10.240022	-13.515811	0.257067	75.6696	OS(=O)(=O)C1=C2C(=O)C3=C(C=CC=C3C(=O)C2=CC=C1)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.472767	1.391124	1.476215	1.488318	1.397916	1.477213	119.313531	120.179678	120.481244	119.654968	118.846382	121.116700	-0.369203	5.804280	-6.998467	0.065530	77.0874	Cc1ccc2C(=O)c3ccccc3C(=O)c2c1N
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.473298	1.392140	1.474042	1.478175	1.397606	1.477324	119.811820	120.116437	120.195940	119.991402	119.661467	120.222934	-0.000007	-0.000056	0.000035	0.000001	75.8970	OC1=CC(=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O)Cl
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.473708	1.392430	1.473489	1.477650	1.398247	1.477609	119.810645	120.136257	120.130435	120.097243	119.627413	120.197824	0.005891	-0.104949	0.167081	0.001262	61.5820	OC1=CC(=C(O)C2=C1C(=O)C3=C(C=CC=C3)C2=O)S(O)(=O)=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.473972	1.391574	1.473972	1.487540	1.344018	1.487540	118.120099	120.560273	120.560257	118.120106	121.316180	121.316199	0.033758	0.209164	-0.763596	0.007046	52.2843	O=C1C2=C(CCCC2)C(=O)C3=C1C=CC=C3
