#种子 0xbeef	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f1	222222	CNCCNC	C,-,-,-,-,O	1.392585	1.348638	1.407330	1.374461	1.377655	1.539000	118.102729	122.212478	119.312610	122.837979	120.880785	116.653420	0.000027	0.000001	-0.000015	0.000000	69.6430	CCOC(=O)C=C1C(=O)Nc2c(non2)N1
222222f1	222222	CNCCNC	C,-,-,-,-,O	1.399305	1.349615	1.404875	1.372110	1.378341	1.548552	117.512736	122.245640	119.612548	122.739204	121.161034	116.628775	1.340515	0.283888	0.376277	0.028998	55.1160	COC(=O)/C=C/1\\C(=O)Nc2c(non2)N1
222222f1	222222	CNCNCC	C,-,N,-,-,-	1.373161	1.373806	1.378317	1.420555	1.352334	1.451707	115.392994	125.481161	116.172424	122.157277	118.247114	121.615744	7.637580	-11.748925	8.495613	0.088969	66.6608	C=C1C=C(N2[C@@H](N=C(N=C2N1)N3CCOCC3)c4ccccc4)[O-]
222222f1	222222	CNNCCC	C,-,-,-,-,-	1.399953	1.364989	1.299725	1.481129	1.408093	1.499611	112.007540	124.285087	117.829442	122.522414	117.544204	117.916343	22.521150	1.416617	-9.388482	0.260171	65.1362	c1ccc2c(c1)C(=C(C#N)C#N)NN=C2Cl
222222f1	222222	CNNCNC	-,-,-,N,N,-	1.372475	1.458310	1.336144	1.512775	1.468497	1.364245	126.233050	116.014846	124.425664	117.501384	118.221441	117.603614	-0.000117	0.000077	0.000021	0.000001	82.2930	CC(C)(C)C1=C([N+](=[NH2+])c2n[nH]c(=S)n2[N-]1)O
222222f1	222222	COCNCC	O,-,C,-,-,-	1.365957	1.423982	1.371632	1.396647	1.395339	1.471938	116.921896	125.044915	115.813560	123.222978	120.354583	118.642068	-0.000217	0.000051	0.000096	0.000002	74.6678	c1ccc2c(c1)C(=O)O/C(=C\\3/C=CC=CC3=[NH2+])/N2
222222f1	222222	NNCCCC	-,-,-,-,C,-	1.380505	1.421403	1.361988	1.452992	1.486820	1.296605	117.191960	124.033789	118.492975	119.408464	115.851676	123.753505	-11.301971	1.666514	6.560772	0.111826	82.6869	CC1(C=C2C(=NN(C(=C2C#N)N)c3ccccc3)CO1)C
222222f1	222222	NNCNNC	-,-,N,-,-,-	1.370394	1.370471	1.374421	1.385380	1.392723	1.302975	113.298739	125.394348	118.351771	117.532719	117.462916	126.474084	2.779034	-11.388486	14.566247	0.108645	59.7750	c1cocc1C2=Nn3c(=S)[nH]nc3NN2
222222f2	222222	CCCCCC	O,-,-,-,-,O	1.475331	1.407258	1.484793	1.407261	1.475331	1.513074	118.713158	120.375473	120.911367	120.911532	120.375248	118.713223	-0.000264	0.000190	-0.000305	0.000004	32.7314	O=C1C(=O)c2ccccc2c3ccccc13
222222f2	222222	CCCCCC	O,-,-,N,-,-	1.480337	1.387707	1.484158	1.492760	1.395528	1.473269	119.498500	120.813395	120.205547	118.852645	120.460583	120.169329	0.000025	0.000062	-0.000137	0.000001	67.7245	C12=C(C(=O)C3=C(C1=N)C=CC=N3)C(O)=CC=C2O
222222f2	222222	CCCCCC	O,-,-,N,-,-	1.496151	1.417023	1.510265	1.450256	1.415181	1.438470	114.657384	122.332590	120.622574	114.385419	122.708650	123.317229	5.491189	-14.683803	13.026055	0.146875	77.2996	CC1=C2C(=O)C3=C(C=CC=C3)C(=NNC4=C(C=C(C=C4)[N+]([O-])=O)[N+]([O-])=O)C2=C(C)O1
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.445040	1.427304	1.445039	1.493599	1.407413	1.493598	115.327564	122.695342	122.695331	115.327504	121.963750	121.963633	-2.126770	1.459971	-0.328985	0.014301	55.5264	O=C1C2=C(C=CC=C2)C(=O)C3=C(OC(=C13)C4=CC=CC=C4)C5=CC=CC=C5
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.446650	1.422142	1.440250	1.495653	1.416851	1.509835	115.872750	123.090296	122.523095	115.485373	122.904500	120.087491	2.316002	-1.113981	-0.005576	0.016663	54.4046	CC1=CC=CC2=C1C(=O)C3=C(OC(=C3C2=O)C4=CC=CC=C4)C5=CC=CC=C5
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.449261	1.377806	1.433080	1.492581	1.410878	1.498780	116.955667	118.959909	127.154468	114.019043	121.160830	120.582720	2.227003	4.847161	-3.088690	0.109103	71.6536	[O-][N+](=O)C1=CC=CC2=C1C(=O)C3=C(OC4=C3C5=CC=CC=C5C=C4)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.455546	1.388663	1.468096	1.455546	1.388663	1.468096	111.669546	126.223891	122.106574	111.669529	126.223884	122.106576	-0.000038	0.000017	0.000073	0.000001	65.3068	c1csc2c1C(=O)c3c(ccs3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.458112	1.413875	1.458112	1.458112	1.413875	1.458112	110.304505	124.847745	124.847750	110.304504	124.847745	124.847751	-0.000105	0.000104	-0.000102	0.000001	12.6390	c12c(non1)C(=O)c3c(non3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.466048	1.424124	1.466049	1.466048	1.424124	1.466048	110.556563	124.721710	124.721732	110.556553	124.721718	124.721724	-0.000172	0.000520	-0.000387	0.000006	87.5643	c12c(n[nH]n1)C(=O)c3c(n[nH]n3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.468766	1.388901	1.478635	1.492005	1.401621	1.478109	119.482339	119.976164	120.799299	120.022572	118.056068	121.663557	0.000032	-0.000394	0.000420	0.000004	82.1808	CC1=C(Cl)C2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
