#种子 0xbeef	NCONF 100	环大小 5
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	a0	a1	a2	a3	a4	t0	t1	t2	Q	phi	SMILES
22222i	22222	CCCNC	-,-,O,-,O	1.336188	1.471088	1.353238	1.355729	1.467879	107.784491	107.442058	107.189203	110.475619	107.067361	1.175220	-2.018945	0.000000	0.017916	1.3796	C/N=C\\1/C(C(=O)N(C1=O)C)C2=CC(=O)N(C2=O)C
22222i	22222	CCCNN	-,-,C,-,-	1.334194	1.440010	1.388543	1.264974	1.374253	110.398499	105.008099	104.909340	111.056768	108.578417	-2.032596	2.232092	0.000000	0.019659	1.9240	CC1=C(/C(=C\\2/C(=NNS2)C)/N=N1)C(=O)OC
22222i	22222	CCCNN	N,N,-,-,-	1.495229	1.511716	1.309527	1.393163	1.370566	102.857068	104.242133	110.012786	107.252793	115.576540	1.816498	-0.511119	0.000000	0.022709	12.0656	C1(/C(NN=C1N)=N)=N/NC2=CC(C(F)(F)F)=CC=C2
22222i	22222	CCCNN	O,P,-,-,-	1.483490	1.489029	1.296368	1.393135	1.385235	102.926184	104.621524	110.659378	107.635502	114.123405	1.482448	-0.510976	0.000000	0.017297	15.0671	C1(C(N(C2=CC=CC=C2)N=C1C)=O)=P(C3=CC=C(C=C3)Br)(C4=CC=CC=C4)C5C=CC=CC=5
22222i	22222	CCCOC	-,-,O,-,O	1.322323	1.450714	1.348793	1.351567	1.459051	108.943300	106.253625	108.824095	109.267058	106.711922	0.000001	-0.000001	0.000000	0.000000	3.3147	ClC1=CC(=O)OC1=O
22222i	22222	CCCOC	-,C,O,-,-	1.424496	1.490594	1.381810	1.393814	1.329336	104.848478	106.521597	107.683857	104.440451	116.505617	0.000006	-0.000004	0.000000	0.000000	6.0175	C1(C(C(=O)OC=1)=C)C(=O)O
22222i	22222	CCNCC	-,-,-,-,C	1.347039	1.474320	1.284844	1.498354	1.484255	106.454312	110.965730	107.686476	110.986296	103.806781	-1.877901	-0.251077	0.000000	0.029320	4.1309	CC\\1=C([NH+]=C(/C1=C(\\C)/NN)C)C(=O)NN
22222i	22222	CCNCN	N,C,-,-,-	1.521827	1.399798	1.309765	1.378676	1.392682	102.971485	108.750225	104.345856	116.805117	106.592030	3.704950	0.951704	0.000000	0.067976	4.9674	[H]/N=C/1\\C(=C(\\C#N)/N)\\N=CN1N=C(C)C
22222i	22222	CCNCN	O,C,-,-,-	1.493251	1.379790	1.295307	1.345630	1.352947	102.277002	109.347957	103.918742	115.865746	108.590553	0.000009	-0.000005	0.000000	0.000000	8.4700	c1cc(oc1)/C=C\\2/C(=O)NC(=N2)[S-]
22222i	22222	CCNNC	-,C,-,-,-	1.436124	1.383831	1.264809	1.370002	1.332154	103.467593	106.457858	110.113709	108.458024	111.502657	-0.132288	0.112970	0.000000	0.001098	15.9059	c1ccc(cc1)C(=O)ON/C(=C\\2/C=CN=N2)/[NH3+]
22222i	22222	CCNNC	-,C,-,-,-	1.436133	1.387516	1.266757	1.369669	1.330541	103.791187	106.048024	110.332284	108.260436	111.568069	0.000017	-0.000013	0.000000	0.000000	9.1007	C1=C/C(=C\\2/C=CN=N2)/NC=C1
22222i	22222	CCNON	-,C,-,-,-	1.478931	1.396105	1.416977	1.447579	1.299355	109.069491	104.614987	110.108133	104.318600	111.172855	8.414626	-8.245501	0.000000	0.077458	2.4399	c1ccc(cc1)C(=O)/C(=C/2\\C=[N+](ON2)[O-])/N=O
22222i	22222	CNCNC	-,-,N,-,-	1.295944	1.367728	1.368338	1.298305	1.507181	108.785647	102.315425	117.897790	102.149128	108.850923	0.342902	-0.211471	0.000000	0.002852	1.1809	C[S@@](=O)CC1=NC(=N)N=C1C[S@@](=O)C
22222i	22222	CNNNC	-,-,-,-,C	1.305302	1.414640	1.258001	1.372602	1.467171	108.231647	106.454688	110.881043	110.724524	103.707983	-0.008130	-0.063676	0.000000	0.000956	4.8648	CC(C)(C)C\\1=NN=N/C1=C/Nc2ccc(cc2)F
22222i	22222	COCNC	O,-,-,-,C	1.361072	1.354177	1.294962	1.369636	1.488135	102.946792	106.374765	117.711865	102.715894	110.250533	0.131905	-0.125176	0.000000	0.001025	1.3490	O=C1OC(=NC1=CC2=CC=CC=C2)C3=CC=CC=C3
